Environment Size,Agent Type,Run Number,Time Steps, Score
7,HahRandomAgent,9,398:,0.43
8,HahRandomAgent,9,518:,0.33
9,HahRandomAgent,9,654:,0.36
10,HahRandomAgent,9,806:,0.33
3,HahVacuumModelReflexBumpAgent,9,21:,1.00
4,HahVacuumModelReflexBumpAgent,9,35:,1.00
5,HahVacuumModelReflexBumpAgent,9,57:,1.00
6,HahVacuumModelReflexBumpAgent,9,78:,1.00
7,HahVacuumModelReflexBumpAgent,9,112:,0.99
8,HahVacuumModelReflexBumpAgent,9,142:,1.00
9,HahVacuumModelReflexBumpAgent,9,189:,0.99
10,HahVacuumModelReflexBumpAgent,9,236:,0.99
3,HahRandomAgent,10,78:,0.82
4,HahRandomAgent,10,134:,0.76
5,HahRandomAgent,10,206:,0.55
6,HahRandomAgent,10,294:,0.45
7,HahRandomAgent,10,398:,0.40
8,HahRandomAgent,10,518:,0.46
9,HahRandomAgent,10,654:,0.36
10,HahRandomAgent,10,806:,0.39
3,HahVacuumModelReflexBumpAgent,10,21:,1.00
4,HahVacuumModelReflexBumpAgent,10,35:,1.00
5,HahVacuumModelReflexBumpAgent,10,54:,1.00
6,HahVacuumModelReflexBumpAgent,10,82:,0.99
7,HahVacuumModelReflexBumpAgent,10,117:,0.99
8,HahVacuumModelReflexBumpAgent,10,149:,0.99
9,HahVacuumModelReflexBumpAgent,10,187:,0.99
10,HahVacuumModelReflexBumpAgent,10,221:,0.99
